id,group,routs
10000,4,"['rukou', 'qiandao', 'haibao', 'zhuhuichang', 'ROOM3', 'zhanting', 'zhuhuichang', 'fuwutai', 'canting', 'haibao', 'zhanting', 'haibao', 'B', 'haibao', 'xiuxian', 'ROOM1', 'haibao', 'chukou']"
10002,4,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'zhuhuichang', 'ROOM3', 'fuwutai', 'zhanting', 'zhuhuichang', 'canting', 'xiuxian', 'haibao', 'zhanting', 'haibao', 'C', 'haibao', 'A', 'haibao', 'zhanting', 'ROOM1', 'haibao', 'xiuxian', 'chukou']"
10003,4,"['rukou', 'qiandao', 'zhuhuichang', 'canting', 'haibao', 'xiuxian', 'haibao', 'C', 'haibao', 'xiuxian', 'ROOM1', 'chukou']"
10004,4,"['rukou', 'qiandao', 'fuwutai', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'canting', 'xiuxian', 'haibao', 'C', 'haibao', 'xiuxian', 'ROOM1', 'haibao', 'qiandao', 'chukou']"
10005,3,"['rukou', 'qiandao', 'canting', 'chukou']"
10012,4,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'zhanting', 'zhuhuichang', 'fuwutai', 'canting', 'haibao', 'C', 'haibao', 'A', 'haibao', 'xiuxian', 'ROOM1', 'qiandao', 'chukou']"
10014,0,"['rukou', 'qiandao', 'zhanting', 'zhuhuichang', 'ROOM3', 'fuwutai', 'zhuhuichang', 'fuwutai', 'canting', 'xiuxian', 'zhanting', 'haibao', 'D', 'haibao', 'xiuxian', 'D', 'haibao', 'chukou']"
10015,4,"['rukou', 'qiandao', 'zhuhuichang', 'haibao', 'zhuhuichang', 'canting', 'zhanting', 'haibao', 'B', 'haibao', 'A', 'haibao', 'xiuxian', 'haibao', 'C', 'chukou']"
10018,4,"['rukou', 'qiandao', 'zhuhuichang', 'ROOM3', 'zhanting', 'zhuhuichang', 'fuwutai', 'canting', 'xiuxian', 'haibao', 'B', 'haibao', 'xiuxian', 'ROOM1', 'xiuxian', 'chukou']"
10019,5,"['rukou', 'ROOM2', 'haibao', 'zhuhuichang', 'haibao', 'ROOM2', 'ROOM3', 'ROOM2', 'canting', 'zhuhuichang', 'zhanting', 'ROOM2', 'ROOM1', 'haibao', 'A', 'haibao', 'ROOM2', 'ROOM1', 'ROOM2', 'canting', 'chukou']"
